RCPT: bchunk.zip, 5387, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 19086211, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
RCPT: blob, 20971520, errors: 0
